FID,ID,DateTime,Latitude,Longitude,site,penguin_id,track_id,GEOM
OC_LPhillips_LittlePenguin_GPS_tracks_DATA.1,1,2015-12-19T03:39:00,-42.9898,147.3295,Boronia_Beach,bor_1,bor_1,POINT (147.329514 -42.989811)
OC_LPhillips_LittlePenguin_GPS_tracks_DATA.2,2,2015-12-19T03:40:00,-42.9902,147.3308,Boronia_Beach,bor_1,bor_1,POINT (147.33078 -42.9902)
OC_LPhillips_LittlePenguin_GPS_tracks_DATA.3,3,2015-12-19T03:42:00,-42.9909,147.3324,Boronia_Beach,bor_1,bor_1,POINT (147.332413 -42.990887)
OC_LPhillips_LittlePenguin_GPS_tracks_DATA.4,4,2015-12-19T03:43:00,-42.9915,147.334,Boronia_Beach,bor_1,bor_1,POINT (147.33403 -42.991535)
OC_LPhillips_LittlePenguin_GPS_tracks_DATA.5,5,2015-12-19T03:45:00,-42.9921,147.3354,Boronia_Beach,bor_1,bor_1,POINT (147.335373 -42.992111)
OC_LPhillips_LittlePenguin_GPS_tracks_DATA.6,6,2015-12-19T03:47:00,-42.9926,147.3365,Boronia_Beach,bor_1,bor_1,POINT (147.336517 -42.992607)
OC_LPhillips_LittlePenguin_GPS_tracks_DATA.7,7,2015-12-19T03:50:00,-42.9936,147.3399,Boronia_Beach,bor_1,bor_1,POINT (147.339874 -42.993607)
OC_LPhillips_LittlePenguin_GPS_tracks_DATA.8,8,2015-12-19T03:51:00,-42.994,147.3411,Boronia_Beach,bor_1,bor_1,POINT (147.341095 -42.993988)
OC_LPhillips_LittlePenguin_GPS_tracks_DATA.9,9,2015-12-19T03:55:00,-42.9949,147.3433,Boronia_Beach,bor_1,bor_1,POINT (147.343338 -42.994926)
OC_LPhillips_LittlePenguin_GPS_tracks_DATA.10,10,2015-12-19T03:56:00,-42.9951,147.3437,Boronia_Beach,bor_1,bor_1,POINT (147.343658 -42.995102)
OC_LPhillips_LittlePenguin_GPS_tracks_DATA.11,11,2015-12-19T03:58:00,-42.9953,147.3439,Boronia_Beach,bor_1,bor_1,POINT (147.343948 -42.995316)
OC_LPhillips_LittlePenguin_GPS_tracks_DATA.12,12,2015-12-19T03:59:00,-42.9956,147.3443,Boronia_Beach,bor_1,bor_1,POINT (147.344284 -42.995579)
OC_LPhillips_LittlePenguin_GPS_tracks_DATA.13,13,2015-12-19T04:01:00,-42.9958,147.3446,Boronia_Beach,bor_1,bor_1,POINT (147.344574 -42.995838)
OC_LPhillips_LittlePenguin_GPS_tracks_DATA.14,14,2015-12-19T04:02:00,-42.9963,147.3448,Boronia_Beach,bor_1,bor_1,POINT (147.344772 -42.996349)
OC_LPhillips_LittlePenguin_GPS_tracks_DATA.15,15,2015-12-19T04:04:00,-42.9963,147.3452,Boronia_Beach,bor_1,bor_1,POINT (147.34523 -42.996349)
OC_LPhillips_LittlePenguin_GPS_tracks_DATA.16,16,2015-12-19T04:05:00,-42.9967,147.3454,Boronia_Beach,bor_1,bor_1,POINT (147.345413 -42.996655)
OC_LPhillips_LittlePenguin_GPS_tracks_DATA.17,17,2015-12-19T04:07:00,-42.9969,147.3456,Boronia_Beach,bor_1,bor_1,POINT (147.345612 -42.996857)
OC_LPhillips_LittlePenguin_GPS_tracks_DATA.18,18,2015-12-19T04:09:00,-42.9971,147.3458,Boronia_Beach,bor_1,bor_1,POINT (147.345825 -42.997089)
